201,834,1668,11248,7622,7966,8614
135,834,1668,7684,4950,5266,5646
101,834,1668,5802,3740,3892,4222
81,834,1668,4742,2962,3014,3406
68,834,1668,3944,2438,2530,2750
59,834,1668,3520,2100,2192,2394
51,834,1668,2958,1802,1870,2038
46,834,1668,2736,1648,1690,1870
41,834,1668,2426,1392,1484,1590
38,834,1668,2250,1254,1338,1492
35,834,1668,2150,1140,1276,1370
32,834,1668,1954,1078,1078,1272
30,834,1668,1862,976,1032,1166
28,834,1668,1742,940,990,1092
26,834,1668,1706,846,938,990
25,834,1668,1604,848,880,990
24,834,1668,1564,796,848,918
23,834,1668,1564,752,808,880
21,834,1668,1394,686,730,792
201,560,0,11522,7578,7902,8598
135,560,1120,7810,4950,5210,5586
101,560,1120,5766,3740,3872,4218
81,560,1120,4724,2958,2994,3374
68,560,1120,3936,2438,2530,2750
59,560,1120,3476,2092,2180,2394
51,560,1120,2962,1798,1870,2024
46,560,1120,2748,1644,1674,1870
41,560,1120,2422,1380,1484,1650
38,560,1120,2246,1242,1330,1488
35,560,1120,2152,1132,1204,1370
32,560,1120,1958,1078,1158,1272
30,560,1120,1842,1024,1064,1166
28,560,1120,1742,954,990,1084
26,560,1120,1704,882,930,990
25,560,1120,1604,848,880,990
24,560,1120,1544,788,848,954
23,560,1120,1554,752,848,880
21,560,1120,1392,674,722,784
201,420,0,11524,7578,7902,8784
135,420,0,7640,4950,5214,5586
101,420,840,5842,3740,3872,4218
81,420,840,4782,2958,2994,3374
68,420,840,3932,2438,2530,2750
59,420,840,3484,2156,2200,2394
51,420,840,2960,1798,1870,2026
46,420,840,2752,1650,1678,1870
41,420,840,2426,1380,1484,1590
38,420,840,2244,1242,1330,1488
35,420,840,2142,1220,1212,1370
32,420,840,1956,1034,1158,1272
30,420,840,1838,956,1028,1166
28,420,840,1740,954,990,1084
26,420,840,1706,882,930,990
25,420,840,1606,848,880,990
24,420,840,1546,792,848,954
23,420,840,1566,752,796,880
21,420,840,1396,674,722,844
201,338,0,11810,7574,7902,8598
135,338,0,7630,4950,5210,5586
101,338,0,5822,3740,3872,4218
81,338,676,4738,2958,2986,3370
68,338,676,3940,2438,2530,2750
59,338,676,3478,2156,2180,2394
51,338,676,2950,1798,1870,2022
46,338,676,2740,1650,1674,1870
41,338,676,2424,1380,1484,1650
38,338,676,2248,1330,1330,1488
35,338,676,2148,1220,1272,1370
32,338,676,1966,1078,1158,1272
30,338,676,1840,1024,1028,1166
28,338,676,1740,954,980,1084
26,338,676,1710,878,882,990
25,338,676,1604,848,880,990
24,338,676,1550,784,848,918
23,338,676,1566,792,796,880
21,338,676,1392,722,722,784
201,285,0,11428,7570,7902,8784
135,285,0,7740,4950,5194,5586
101,285,0,5874,3740,3868,4218
81,285,0,4904,2954,3146,3366
68,285,570,3920,2438,2530,2750
59,285,570,3494,2084,2176,2394
51,285,570,2936,1798,1866,2020
46,285,570,2732,1650,1674,1870
41,285,570,2476,1380,1484,1590
38,285,570,2258,1242,1330,1488
35,285,570,2152,1220,1204,1370
32,285,570,1958,1078,1158,1272
30,285,570,1844,952,1064,1166
28,285,570,1736,940,990,1080
26,285,570,1710,878,882,990
25,285,570,1626,846,880,990
24,285,570,1546,784,848,918
23,285,570,1570,752,796,884
21,285,570,1412,674,722,784
201,249,0,11264,7618,7946,8610
135,249,0,7630,4950,5258,5646
101,249,0,5776,3740,3892,4218
81,249,0,4810,2958,3010,3406
68,249,0,3936,2438,2530,2750
59,249,498,3514,2108,2192,2394
51,249,498,2972,1802,1870,2038
46,249,498,2750,1650,1690,1870
41,249,498,2432,1392,1484,1590
38,249,498,2248,1254,1338,1492
35,249,498,2150,1228,1276,1370
32,249,498,1954,1078,1166,1272
30,249,498,1856,976,1032,1166
28,249,498,1742,954,990,1092
26,249,498,1706,882,882,988
25,249,498,1604,848,846,990
24,249,498,1568,796,848,918
23,249,498,1568,752,808,880
21,249,498,1398,726,726,792
201,216,0,12378,7382,7886,8780
135,216,0,7886,4950,5130,5586
101,216,0,5852,3740,3856,4268
81,216,0,4904,2970,2970,3318
68,216,0,4046,2438,2530,2750
59,216,0,3516,2132,2200,2386
51,216,432,2964,1794,1862,2014
46,216,432,2752,1638,1650,1870
41,216,432,2464,1376,1480,1650
38,216,432,2248,1226,1310,1484
35,216,432,2152,1200,1272,1346
32,216,432,1956,1074,1142,1272
30,216,432,1848,1008,1060,1166
28,216,432,1736,950,990,1064
26,216,432,1704,862,922,990
25,216,432,1630,848,880,982
24,216,432,1540,784,848,954
23,216,432,1564,752,784,880
21,216,432,1410,666,714,784
201,196,0,12052,7370,7874,8780
135,196,0,7770,4950,5126,5586
101,196,0,5792,3740,3856,4248
81,196,0,4818,2970,3090,3314
68,196,0,3994,2438,2582,2750
59,196,0,3476,2124,2200,2370
51,196,0,2944,1786,1858,1992
46,196,392,2766,1634,1650,1870
41,196,392,2478,1368,1480,1650
38,196,392,2254,1310,1378,1484
