0,0,0
0.66667,0,0
1.3333,0,0
2,0,0
2.6667,0,0
3.3333,0,0
4,0,0
4.6667,0,0
5.3333,0,0
6,0,0
6.6667,0,0
7.3333,0,0
8,0,0
8.6667,0,0
9.3333,0,0
10,0,0
10.667,0,0
11.333,0,0
12,0,0
12.667,0,0
13.333,0,0
14,0,0
14.667,0,0
15.333,0,0
16,0,0
16.667,0,0
17.333,0,0
18,0,0
18.667,0,0
19.333,0,0
20,0,0
0,0.66667,0
0.66667,0.66667,-0.84042
1.3333,0.66667,-1.144
2,0.66667,-1.9279
2.6667,0.66667,-3.0087
3.3333,0.66667,-3.4867
4,0.66667,-4.3057
4.6667,0.66667,-4.6789
5.3333,0.66667,-4.5663
6,0.66667,-4.7091
6.6667,0.66667,-4.0362
7.3333,0.66667,-3.9358
8,0.66667,-3.2271
8.6667,0.66667,-3.1039
9.3333,0.66667,-2.6661
10,0.66667,-2.7642
10.667,0.66667,-2.6661
11.333,0.66667,-3.1039
12,0.66667,-3.2271
12.667,0.66667,-3.9358
13.333,0.66667,-4.0362
14,0.66667,-4.7091
14.667,0.66667,-4.5663
15.333,0.66667,-4.6789
16,0.66667,-4.3057
16.667,0.66667,-3.4867
17.333,0.66667,-3.0087
18,0.66667,-1.9279
18.667,0.66667,-1.144
19.333,0.66667,-0.84042
20,0.66667,0
0,1.3333,0
0.66667,1.3333,-1.144
1.3333,1.3333,-2.7797
2,1.3333,-4.6061
2.6667,1.3333,-5.6964
3.3333,1.3333,-6.7842
4,1.3333,-7.7767
4.6667,1.3333,-7.9183
5.3333,1.3333,-8.1567
6,1.3333,-7.5876
6.6667,1.3333,-6.9839
7.3333,1.3333,-6.1886
8,1.3333,-5.2985
8.6667,1.3333,-4.7662
9.3333,1.3333,-4.1645
10,1.3333,-4.1893
10.667,1.3333,-4.1645
11.333,1.3333,-4.7662
12,1.3333,-5.2985
12.667,1.3333,-6.1886
13.333,1.3333,-6.9839
14,1.3333,-7.5876
14.667,1.3333,-8.1567
15.333,1.3333,-7.9183
16,1.3333,-7.7767
16.667,1.3333,-6.7842
17.333,1.3333,-5.6964
18,1.3333,-4.6061
18.667,1.3333,-2.7797
19.333,1.3333,-1.144
20,1.3333,0
0,2,0
0.66667,2,-1.9279
1.3333,2,-4.6061
2,2,-6.6315
2.6667,2,-8.0826
3.3333,2,-9.6597
4,2,-10.124
4.6667,2,-10.306
5.3333,2,-9.9711
6,2,-8.7789
6.6667,2,-7.844
7.3333,2,-6.2033
8,2,-5.2626
8.6667,2,-4.0217
9.3333,2,-3.63
10,2,-3.1931
10.667,2,-3.63
11.333,2,-4.0217
12,2,-5.2626
12.667,2,-6.2033
13.333,2,-7.844
14,2,-8.7789
14.667,2,-9.9711
15.333,2,-10.306
16,2,-10.124
16.667,2,-9.6597
17.333,2,-8.0826
18,2,-6.6315
18.667,2,-4.6061
19.333,2,-1.9279
20,2,0
0,2.6667,0
0.66667,2.6667,-3.0087
1.3333,2.6667,-5.6964
2,2.6667,-8.0826
2.6667,2.6667,-10.368
3.3333,2.6667,-11.539
4,2.6667,-11.681
4.6667,2.6667,-11.246
