0,2.6431,2.6518,2.6336,2.619
9.8039e+06,10.214,10.269,10.266,10.253
1.9608e+07,7.534,7.5502,7.5962,7.587
2.9412e+07,9.9484,9.721,9.7845,9.8025
3.9216e+07,3.5315,3.5844,3.7117,3.7071
4.902e+07,2.1707,2.0638,1.978,2.0893
5.8824e+07,0.24424,0.2515,0.1631,0.25688
6.8627e+07,0.18517,0.18587,0.25425,0.21617
7.8431e+07,0.12783,0.1468,0.32167,0.19179
8.8235e+07,0.059205,0.11339,0.18984,0.091658
9.8039e+07,0.053808,0.057538,0.1236,0.12195
1.0784e+08,0.11975,0.067295,0.26147,0.058102
1.1765e+08,0.037776,0.069663,0.060775,0.084621
1.2745e+08,0.10257,0.051403,0.26627,0.11018
1.3725e+08,0.043273,0.06406,0.34304,0.11424
1.4706e+08,0.05982,0.024404,0.49246,0.068976
1.5686e+08,0.051982,0.012395,0.46986,0.076757
1.6667e+08,0.023506,0.071659,0.40427,0.031339
1.7647e+08,0.037557,0.040346,0.20152,0.06079
1.8627e+08,0.027394,0.045712,0.084913,0.051167
1.9608e+08,0.024216,0.024205,0.074582,0.059325
2.0588e+08,0.0056482,0.010051,0.12626,0.032227
2.1569e+08,0.012962,0.0047997,0.23046,0.026798
2.2549e+08,0.035844,0.020611,0.10255,0.050245
2.3529e+08,0.033615,0.034877,0.62446,0.070252
2.451e+08,0.044732,0.050517,1.1648,0.069808
