0,0,0,0
2e-09,-5.2484,-4.5792,-2.8236
4e-09,-9.7573,-4.6678,-5.7705
6e-09,-17.687,-9.2112,-7.9852
8e-09,-26.654,-14.389,-14.666
1e-08,-38.259,-21.229,-21.437
1.2e-08,-48.664,-29.836,-29.936
1.4e-08,-56.279,-37.293,-37.491
1.6e-08,-57.98,-41.201,-41.798
1.8e-08,-50.561,-41.098,-41.607
2e-08,-35.177,-35.031,-34.806
2.2e-08,-14.763,-22.903,-23.242
2.4e-08,7.0501,-7.9391,-7.9998
2.6e-08,25.579,6.3964,6.7227
2.8e-08,38.06,18.643,19.04
3e-08,43.137,26.451,26.32
3.2e-08,41.742,28.821,29.125
3.4e-08,36.569,27.485,27.546
3.6e-08,29.739,24.291,24.723
3.8e-08,22.803,19.916,19.385
4e-08,17.138,15.578,16.11
4.2e-08,12.738,12.111,11.695
4.4e-08,9.6916,9.5124,9.7626
4.6e-08,7.5765,7.4074,7.1097
4.8e-08,5.9488,5.9892,6.249
5e-08,4.9443,5.0149,4.7713
5.2e-08,4.2534,4.2663,4.3008
5.4e-08,3.5647,3.6151,3.6111
5.6e-08,3.1057,3.2072,3.0317
5.8e-08,2.7173,2.8177,3.0252
6e-08,2.4623,2.4514,2.1775
6.2e-08,2.2633,2.2655,2.7807
6.4e-08,1.9932,2.3803,2.0155
6.6e-08,2.3857,2.8879,3.4412
6.8e-08,4.5589,4.1765,3.8335
7e-08,6.2493,6.5254,6.7695
7.2e-08,9.24,9.8912,9.4724
7.4e-08,13.943,14.11,14.185
7.6e-08,20.486,19.344,18.999
7.8e-08,26.93,25.341,24.702
8e-08,31.618,30.856,30.083
8.2e-08,34.32,33.747,33.483
8.4e-08,34.269,33.358,34.071
8.6e-08,29.705,29.363,29.76
8.8e-08,21.447,22.012,22.839
9e-08,10.82,11.733,12.523
9.2e-08,0.84771,1.4948,2.3202
9.4e-08,-8.3041,-7.6155,-8.103
9.6e-08,-16.012,-15.445,-15.376
9.8e-08,-20.381,-20.098,-21.002
1e-07,-22.931,-23.663,-24.141
1.02e-07,-25.781,-26.395,-26.688
1.04e-07,-29.294,-29.364,-28.802
1.06e-07,-32.441,-32.417,-31.664
1.08e-07,-35.078,-34.98,-34.508
1.1e-07,-35.774,-35.321,-35.083
1.12e-07,-33.509,-33.52,-33.436
1.14e-07,-28.283,-27.877,-28.64
1.16e-07,-20.497,-20.329,-21.57
1.18e-07,-10.939,-10.976,-11.752
1.2e-07,-1.8103,-2.1078,-3.0396
1.22e-07,5.011,4.5697,4.5509
1.24e-07,9.3203,8.8287,9.3385
1.26e-07,11.333,10.952,11.614
1.28e-07,11.116,11.062,11.497
1.3e-07,9.8511,9.7539,10.093
1.32e-07,8.1815,7.6923,7.8931
1.34e-07,5.6124,5.423,5.3104
1.36e-07,2.4431,2.47,2.6636
1.38e-07,-0.20323,-0.5767,-0.83541
1.4e-07,-4.157,-4.0659,-3.96
1.42e-07,-8.5196,-8.3785,-8.0413
1.44e-07,-13.902,-12.809,-12.004
1.46e-07,-18.281,-16.517,-15.973
1.48e-07,-21.18,-19.522,-17.873
1.5e-07,-19.543,-19.308,-18.381
1.52e-07,-14.731,-14.482,-15.149
1.54e-07,-6.5654,-5.9841,-7.3889
1.56e-07,5.8996,5.438,3.6045
1.58e-07,22.074,19.451,17.826
1.6e-07,36.902,34.324,32.129
1.62e-07,48.191,47.354,45.316
1.64e-07,55.87,55.466,54.194
1.66e-07,57.981,57.256,58.364
1.68e-07,52.26,52.887,54.689
1.7e-07,40.687,42.445,44.875
1.72e-07,25.884,27.445,30.243
1.74e-07,10.511,12.2,14.512
1.76e-07,-2.6124,-1.1892,0.1152
1.78e-07,-11.604,-11.287,-11.361
1.8e-07,-16.827,-16.904,-17.85
1.82e-07,-17.676,-18.225,-20.338
1.84e-07,-16.584,-17.214,-18.233
1.86e-07,-14.551,-15.218,-16.346
1.88e-07,-11.709,-12.267,-13.13
1.9e-07,-10.897,-11.34,-11.527
1.92e-07,-10.679,-11.094,-10.298
1.94e-07,-11.461,-11.368,-10.91
1.96e-07,-12.537,-12.586,-12.546
1.98e-07,-15.056,-14.958,-14.013
2e-07,-18.312,-18.018,-16.916
